date,home_team,away_team,home_score,away_score,tournament,country,neutral,shootout_winner,first_shooter,match_outcome,home_elo_pre,away_elo_pre
1892-02-27,Wales,Northern Ireland,1.0,1.0,British Home Championship,Wales,False,,,Draw,1418.1663613924818,1353.7598713505959
1892-03-05,Northern Ireland,England,0.0,2.0,British Home Championship,Ireland,False,,,Away Win,1358.1676829366434,1593.4397699929787
1892-03-05,Wales,England,0.0,2.0,British Home Championship,Wales,False,,,Away Win,1413.7585498064343,1599.7318212731695
1892-03-19,Northern Ireland,Scotland,2.0,3.0,British Home Championship,Ireland,False,,,Away Win,1351.8756316564525,1636.8575477105976
1892-03-26,Scotland,Wales,6.0,1.0,British Home Championship,Scotland,False,,,Home Win,1641.9852541959428,1406.1837602213957
1892-04-02,Scotland,England,1.0,4.0,British Home Championship,Scotland,False,,,Away Win,1644.5135685598914,1607.3066108582082
1893-02-25,England,Northern Ireland,6.0,1.0,British Home Championship,England,False,,,Home Win,1621.0624933942086,1346.7479251711072
1893-03-13,England,Wales,6.0,0.0,British Home Championship,England,False,,,Home Win,1623.1402983544367,1403.6554458574471
1893-03-18,Wales,Scotland,0.0,8.0,British Home Championship,Wales,False,,,Away Win,1400.9122967474082,1630.757686023891
1893-03-25,Scotland,Northern Ireland,6.0,1.0,British Home Championship,Scotland,False,,,Home Win,1637.18522912913,1344.670120210879
1893-04-01,England,Scotland,5.0,2.0,British Home Championship,England,False,,,Home Win,1625.8834474644757,1639.0758947038498
1894-02-24,Wales,Northern Ireland,4.0,1.0,British Home Championship,Wales,False,,,Home Win,1394.4847536421692,1342.7794546361592
1894-03-03,Northern Ireland,England,2.0,2.0,British Home Championship,Ireland,False,,,Draw,1336.8880339391515,1633.4356500335375
1894-03-12,Wales,England,1.0,5.0,British Home Championship,Wales,False,,,Away Win,1400.376174339177,1628.313636424389
1894-03-24,Scotland,Wales,5.0,2.0,British Home Championship,Scotland,False,,,Home Win,1631.523692134788,1393.9006314337757
1894-03-31,Northern Ireland,Scotland,1.0,2.0,British Home Championship,Ireland,False,,,Away Win,1342.0100475483,1634.0289371808562
1894-04-07,Scotland,England,2.0,2.0,British Home Championship,Scotland,False,,,Draw,1639.0037149083437,1634.7891793297902
1895-03-09,England,Northern Ireland,9.0,0.0,British Home Championship,England,False,,,Home Win,1637.701880322781,1337.0352698208126
1895-03-16,Northern Ireland,Wales,2.0,2.0,British Home Championship,Ireland,False,,,Draw,1335.2234207288955,1391.3953863877075
1895-03-18,England,Wales,1.0,1.0,British Home Championship,England,False,,,Draw,1639.5137294146982,1392.6502096181948
1895-03-23,Wales,Scotland,2.0,2.0,British Home Championship,Wales,False,,,Draw,1400.2592274666276,1636.0910139153527
